Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

98 Aquarii,23h 22m 58.30s,-20° 06′ 01.2″,3.96,Aquarius,Psi1 Aquarii,23h 15m 53.28s,-09° 05′ 15.7″,4.24,Aquarius,-,grey,1,0.5
Psi1 Aquarii,23h 15m 53.28s,-09° 05′ 15.7″,4.24,Aquarius,Lambda Aquarii,22h 52m 36.86s,-07° 34′ 46.8″,3.73,Aquarius,-,grey,1,0.5
Lambda Aquarii,22h 52m 36.86s,-07° 34′ 46.8″,3.73,Aquarius,Eta Aquarii,22h 35m 21.33s,-00° 07′ 02.5″,4.04,Aquarius,-,grey,1,0.5
Eta Aquarii,22h 35m 21.33s,-00° 07′ 02.5″,4.04,Aquarius,Zeta Aquarii,22h 28m 49.80s,-00° 01′ 12.2″,3.65,Aquarius,-,grey,1,0.5
Zeta Aquarii,22h 28m 49.80s,-00° 01′ 12.2″,3.65,Aquarius,Gamma Aquarii,22h 21m 39.30s,-01° 23′ 14.5″,3.86,Aquarius,-,grey,1,0.5
Gamma Aquarii,22h 21m 39.30s,-01° 23′ 14.5″,3.86,Aquarius,Alpha Aquarii,22h 05m 47.03s,-00° 19′ 11.4″,2.95,Aquarius,-,grey,1,0.5
Alpha Aquarii,22h 05m 47.03s,-00° 19′ 11.4″,2.95,Aquarius,Beta Aquarii,21h 31m 33.52s,-05° 34′ 16.2″,2.9,Aquarius,-,grey,1,0.5
Beta Aquarii,21h 31m 33.52s,-05° 34′ 16.2″,2.9,Aquarius,Epsilon Aquarii,20h 47m 40.53s,-09° 29′ 44.5″,3.78,Aquarius,-,grey,1,0.5

Alpha Aquarii,22h 05m 47.03s,-00° 19′ 11.4″,2.95,Aquarius,Theta Aquarii,22h 16m 49.97s,-07° 46′ 59.7″,4.17,Aquarius,-,grey,1,0.5
Theta Aquarii,22h 16m 49.97s,-07° 46′ 59.7″,4.17,Aquarius,Sigma Aquarii,22h 30m 38.82s,-10° 40′ 40.4″,4.82,Aquarius,-,grey,1,0.5
Sigma Aquarii,22h 30m 38.82s,-10° 40′ 40.4″,4.82,Aquarius,Tau2 Aquarii,22h 49m 35.51s,-13° 35′ 33.1″,4.05,Aquarius,-,grey,1,0.5
Tau2 Aquarii,22h 49m 35.51s,-13° 35′ 33.1″,4.05,Aquarius,Delta Aquarii,22h 54m 39.04s,-15° 49′ 14.7″,3.27,Aquarius,-,grey,1,0.5
Delta Aquarii,22h 54m 39.04s,-15° 49′ 14.7″,3.27,Aquarius,88 Aquarii,23h 09m 26.76s,-21° 10′ 20.9″,3.68,Aquarius,-,grey,1,0.5

Theta Aquarii,22h 16m 49.97s,-07° 46′ 59.7″,4.17,Aquarius,Iota Aquarii,22h 06m 26.21s,-13° 52′ 10.3″,4.29,Aquarius,-,grey,1,0.5
