Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Polaris,-21h 20m 00.00s,+36° 00′ 00.0″,-3,Ursa Minor
Polaris,-20h 27m 00.00s,+39° 00′ 00.0″,1,Ursa Minor
Polaris,-19h 54m 00.00s,+37° 00′ 00.0″,1,Ursa Minor
Polaris,-19h 07m 00.00s,+36° 00′ 00.0″,1,Ursa Minor
Polaris,-18h 24m 00.00s,+36° 00′ 00.0″,1,Ursa Minor
Polaris,-17h 32m 00.00s,+40° 00′ 00.0″,1,Ursa Minor
Polaris,-16h 45m 00.00s,+45° 00′ 00.0″,1,Ursa Minor
Polaris,-15h 12m 00.00s,+76° 00′ 00.0″,1,Ursa Minor
Polaris,-14h 26m 00.00s,+89° 00′ 00.0″,1,Ursa Minor
Polaris,-13h 08m 00.00s,+115° 00′ 00.0″,1,Ursa Minor
Polaris,-12h 52m 00.00s,+129° 00′ 00.0″,1,Ursa Minor
Polaris,-13h 29m 00.00s,+160° 00′ 00.0″,1,Ursa Minor
Polaris,-13h 46m 00.00s,+173° 00′ 00.0″,1,Ursa Minor
Polaris,-15h 05m 00.00s,-160° 00′ 00.0″,1,Ursa Minor
Polaris,-14h 50m 00.00s,-143° 00′ 00.0″,1,Ursa Minor
Polaris,-14h 32m 00.00s,-134° 00′ 00.0″,1,Ursa Minor
Polaris,-14h 20m 00.00s,-119° 00′ 00.0″,1,Ursa Minor
Polaris,-14h 01m 00.00s,-105° 00′ 00.0″,1,Ursa Minor
Polaris,-13h 31m 00.00s,-96° 00′ 00.0″,3,Ursa Minor
Polaris,-12h 48m 00.00s,-34° 00′ 00.0″,3,Ursa Minor
Polaris,-0h 00m 00.00s,-43° 00′ 00.0″,3,del
Polaris,-4h 30m 00.00s,-23° 00′ 00.0″,3,delnyugat
Polaris,-6h 00m 00.00s,0° 00′ 00.0″,3,nyugat
Polaris,-9h 20m 00.00s,39° 00′ 00.0″,3,eszaknyugat
Polaris,-12h 00m 00.00s,43° 00′ 00.0″,3,eszak
Polaris,-16h 00m 00.00s,23° 00′ 00.0″,3,eszakkelet
Polaris,-18h 00m 00.00s,0° 00′ 00.0″,3,kelet
Polaris,-21h 00m 00.00s,-32° 00′ 00.0″,3,delkelet
Polaris,-0h 00m 00.00s,47° 00′ 00.0″,3,zenit


