Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha


Eta Normae,16h 03m 12.86s,-49° 13′ 47.0″,4.65,Norma,Epsilon Normae,16h 27m 11.05s,-47° 33′ 17.0″,4.46,Norma,-,grey,1,0.5
Epsilon Normae,16h 27m 11.05s,-47° 33′ 17.0″,4.46,Norma,HD 147152,16h 22m 28.01s,-49° 34′ 20.2″,5.32,Norma,-,grey,1,0.5
HD 147152,16h 22m 28.01s,-49° 34′ 20.2″,5.32,Norma,Gamma2 Normae,16h 19m 50.57s,-50° 09′ 19.4″,4.01,Norma,-,grey,1,0.5
Gamma2 Normae,16h 19m 50.57s,-50° 09′ 19.4″,4.01,Norma,Gamma1 Normae,16h 17m 00.94s,-50° 04′ 05.2″,4.97,Norma,-,grey,1,0.5
Gamma1 Normae,16h 17m 00.94s,-50° 04′ 05.2″,4.97,Norma,Eta Normae,16h 03m 12.86s,-49° 13′ 47.0″,4.65,Norma,-,grey,1,0.5

Kappa Normae,16h 13m 28.73s,-54° 37′ 49.5″,4.95,Norma,Eta Normae,16h 03m 12.86s,-49° 13′ 47.0″,4.65,Norma,-,grey,1,0.5

Kappa Normae,16h 13m 28.73s,-54° 37′ 49.5″,4.95,Norma,Gamma2 Normae,16h 19m 50.57s,-50° 09′ 19.4″,4.01,Norma,-,grey,1,0.5

