Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Theta Leporis,06h 06m 09.33s,-14° 56′ 07.0″,4.67,Lepus,Eta Leporis,05h 56m 24.32s,-14° 10′ 04.9″,3.71,Lepus,-,grey,1,0.5
Eta Leporis,05h 56m 24.32s,-14° 10′ 04.9″,3.71,Lepus,Zeta Leporis,05h 46m 57.35s,-14° 49′ 19.0″,3.55,Lepus,-,grey,1,0.5
Zeta Leporis,05h 46m 57.35s,-14° 49′ 19.0″,3.55,Lepus,Alpha Leporis,05h 32m 43.81s,-17° 49′ 20.3″,2.58,Lepus,-,grey,1,0.5

Alpha Leporis,05h 32m 43.81s,-17° 49′ 20.3″,2.58,Lepus,Delta Leporis,05h 51m 19.15s,-20° 52′ 39.0″,3.76,Lepus,-,grey,1,0.5
Delta Leporis,05h 51m 19.15s,-20° 52′ 39.0″,3.76,Lepus,Gamma Leporis,05h 44m 27.97s,-22° 26′ 51.0″,3.59,Lepus,-,grey,1,0.5
Gamma Leporis,05h 44m 27.97s,-22° 26′ 51.0″,3.59,Lepus,Beta Leporis,05h 28m 14.73s,-20° 45′ 33.2″,2.81,Lepus,-,grey,1,0.5

Alpha Leporis,05h 32m 43.81s,-17° 49′ 20.3″,2.58,Lepus,Beta Leporis,05h 28m 14.73s,-20° 45′ 33.2″,2.81,Lepus,-,grey,1,0.5
Beta Leporis,05h 28m 14.73s,-20° 45′ 33.2″,2.81,Lepus,Epsilon Leporis,05h 05m 27.65s,-22° 22′ 15.1″,3.19,Lepus,-,grey,1,0.5
Epsilon Leporis,05h 05m 27.65s,-22° 22′ 15.1″,3.19,Lepus,Mu Leporis,05h 12m 55.87s,-16° 12′ 19.5″,3.29,Lepus,-,grey,1,0.5
Mu Leporis,05h 12m 55.87s,-16° 12′ 19.5″,3.29,Lepus,Alpha Leporis,05h 32m 43.81s,-17° 49′ 20.3″,2.58,Lepus,-,grey,1,0.5

Nu Leporis,05h 19m 59.03s,-12° 18′ 56.2″,5.29,Lepus,Lambda Leporis,05h 19m 34.53s,-13° 10′ 36.4″,4.29,Lepus,-,grey,1,0.5
Lambda Leporis,05h 19m 34.53s,-13° 10′ 36.4″,4.29,Lepus,Mu Leporis,05h 12m 55.87s,-16° 12′ 19.5″,3.29,Lepus,-,grey,1,0.5

Iota Leporis,05h 12m 17.89s,-11° 52′ 08.9″,4.45,Lepus,Kappa Leporis,05h 13m 13.89s,-12° 56′ 28.6″,4.36,Lepus,-,grey,1,0.5
Kappa Leporis,05h 13m 13.89s,-12° 56′ 28.6″,4.36,Lepus,Mu Leporis,05h 12m 55.87s,-16° 12′ 19.5″,3.29,Lepus,-,grey,1,0.5

